index,song_id,song_name,recommendation
20,2DiigAaUTD8W3CJ4q1S5PX,"Grinch Schedule - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack","['6sxBLLKfLjVaTg5KE4Cy75', '4aTKyYeIzC0ask2ZJicjIJ', '0ZQfn5nh2TnVE6Q0AT8eXr', '3cBV8V9zlYNraydyF8NpBY', '27aaVEyHitYuzOZLDKq8IW']"
21,2L50S184moxNmEiJe00zzP,On The Roof Again,"['2aL4Dr516WsEswstjfnyYr', '4zvqMZ6g4wKZaPpOQvoBpP', '4uY4fBNMiA2vwfQKxsLv0n', '3DcdhXDXL3HupVYxFPu7vw', '6yluLIF5UowR56bZgIwd69']"
22,52tjuUrAxjy7yJ4dXN7MG0,Con Manos Vacias,"['21ceHLJfgyO9703AlzM4DU', '1PRsCgYtkgFaKgFMlry3Gr', '0ZQfn5nh2TnVE6Q0AT8eXr', '7GXxF8GhkLoWiMFIzL9rAc', '442FV16HuyEMgy7auT88hB']"
23,5hc8WqSlO3UCbKgV0Wi7EV,The 6th Gate (Dance With the Devil) - Original Extended,"['2UhhSTIAKDa5lwWItkYvIE', '7dYf0CsWHDLvlP6HJPs3zO', '5V57eUQoTrMCZqonhzi8B9', '65G7XDGcybJiGywSCXJiL5', '5mfA2CBzQeGiTk9wFItCsS']"
24,5Ie2Ef5DBx9QZbXRAbIbk9,Stutter,"['4s3Z1svzMAu8OwmhWLUWHw', '6UdhIn5jito25nOYZ5jWlA', '1uW8wYIoulhYK6qIXhakbg', '4lq31N4E4eWqVMZv93sbhJ', '0fgSfUAnuJzzB8l8MdgRZg']"
25,70HvjzRKDWns8CzoMfGXaJ,Keep My Name out Yo Mouth,"['3DXdjHnePKnh6oXw2ZgGSl', '326ICMkp2gWSYcJdba9s7d', '1DXXWu8Del2WXqBsuB4TcL', '6A9wHAasMxed0firnDao1K', '4w7vZjpsnpKizj7NE0Nuld']"
26,0HPAknhFOv5nZL4kIVpzGd,Saw A Gangsta Cry,"['3dD9yyYTQ73SZvyOygyKva', '36m0b1aad6A4CXq41VYxDe', '3L7P7HZVQ3wxzKoUyxaC9H', '3WQZfz5DLbO2vnJDWNxRBf', '6jjQHv8A394Dz1HjYrr2jv']"
27,3G2lWP5eg517FkJNt887cf,I Get A Kick Out Of You - Remastered,"['0qiPiNedfMjUOAdVkB9kUG', '2sFF0K2eHIClZYUqIbAwdb', '6BfO8BTtLoD8tTwvRFGfKf', '6cmN289nKe8MTwuBCamoOt', '4sjdZEEQvR1sXrRNSuBfbA']"
28,3kxRnmm1GQRyVgrodjANlB,Like a Real Freak,"['3rBOkpPCniY6AxOIavGGsg', '5nMBzG9xVnJZTpZKgnWCec', '7tI6xPZworV0dPtf5ZMMF6', '0FD8KMG4pHp0O9clTpChjp', '0mF3Ysmjl4QluLh4sZVnzf']"
29,5KPhsNfpwNSVAXclO4u5P6,Faces In Disguise,"['7yZtrG0ktXcDCyWkmIWmEi', '3AAdbLZWOptsP8ViSj71RD', '1Td7TGT1XtK2ojUjz1mGUV', '7avOlwT4dRe3xr1RH82k4d', '4Hs5Fu5fHNPwHvKAiUXotu']"
30,0ks5sXa1iEMvtVbYOsfiNq,Love So Nice,"['45Qdc2qOBzyUir3uRpP6PL', '25diaIekB8iIN5oAukdFNe', '4aGvs7y4hQIbGss7zmEXKf', '7F13Js5hgHoA6oVNcEMaK0', '4kgKRtDeHmYryhIPOqZws3']"
31,19gFsbbcnjo5dwtwAtrPFD,Islands in the Stream,"['6eK6QQZ8RFakE47NDWDr4P', '47AcSD50nYxgg99swhR8uK', '7DBmoLFNz6MHHvXr3g453W', '6gAifEnsklSTHLp8XbiuCK', '0shSP8DgseLewHgAiMC4UL']"
32,6n9U8F0FYH5p0kekKJD55G,Aliens Exist - Live/1999,"['0OWmBvdthZceFMOwB5EANd', '6TqoydI7ZJdRkwBgPYy7eb', '6HNblLPt5QF2eC6aAxDLmb', '6KiDWhvqA0X7i31MBumlmq', '4jpU6zDVX7KS2w9A7t9vGZ']"
33,0tFuTobynZI2CKdzXQ6v6V,La Vecina,"['4uY5Ha1kmPqMoBiDWyHQr3', '46wNa9WBMg03UjlwNfNldR', '0kQUD1MgW72FHonZrkBJiL', '1gjmSgk0JVvBNjBiLDjgFl', '52Cpyvd2dKb6XRn313nH87']"
34,3VNVHB1pa63RIokenb7EKt,"My Funny Friend and Me - From ""The Emperor's New Groove""/Soundtrack Version","['043T1ZzD0qHoesyfZhseGn', '34LTPimLjIG8Cumg0ZeScS', '1As0DIn3aDCaAspzPQ2s6b', '2NKSdHfJ2j3PnSZUJfXa7J', '1cMIaPv3DTyOGeNe2h6igm']"
35,4gHCdsMCEjDbHT77tstgcl,You're so Vain,"['7Li4tDRNhncbjZkSTL12ib', '1hTSImeofoaFWptq9JSFpP', '6rDaCGqcQB1urhpCrrD599', '5HPnumlogzZtpLEaORZjz1', '6myIHZGjkqqSnEFfVvO2wS']"
36,5sIcDnAIXflFSBINLjX6nU,44 Killers,"['23WjeJQCrtKxvf6u3OAxH1', '1lJBNe8CjXxTX8VoIHr0KX', '4lq31N4E4eWqVMZv93sbhJ', '2bUOXwW1ToIWc4bM4hKYxy', '7w9T4qsofdkPFL1iyUrwNL']"
37,44Qy7mThAvZf63Xi3MdSUA,Caribbean Medley,"['43xanDcfSBWuURZCWbItzf', '45xDNu9YVKIegqePEa1dSh', '5YzA563GXTuwQaRq24z1k5', '0JlYNNkFTSuvlkSXcyPHHP', '3oCghu20Kto5Xcu8Pg0cit']"
38,4UGaLfwKFZNlB594K6ucxA,"Die, All Right!","['5tz5QsHPkv69T1scq2utZZ', '7bdUH0npz854dv3plG8ieT', '14B9WdVCUXs2WMmCTNRT6t', '2LQb3iYBzoxbxct2IexjBc', '5aBfDmptpKRZETucW6QFAp']"
39,0rXCeTgjXDJOwWnPA591Tt,Hello in There,"['4mS0kNelJEq1u2siN6RIrB', '3OIoLMnnWzAUORFQxRAhdF', '2XbQ5OKrb31tqscfsjU8CA', '36RZFJ2VIx6dKs8ANTegX4', '6jI7y83WjuyBne9b3IvdSs']"
40,1nAypwe9QgBWBCvgqDh8WN,The Jungle Book: The Bare Necessities (arr. for orchestra),"['00epdG9ONPL8KkErbmKW8o', '2g6WTGWNYGnRCBaWEzFE00', '6dXs0lM3BhWnsyqtuWFOYl', '1SJkTuUNKe4rYQgX8wmqku', '2FfrdvaIfa9rTf1DnBs6aX']"
41,3ScTaxssPMiRO61W9vkafW,"El Dorado - From ""The Road To El Dorado"" Soundtrack","['2vEIsR8I5HaEC0t64BDx1P', '5Y7a8iWIawp1QTbevGeH1V', '1Gz3fpirkG2rlgNK9ufGOm', '43CrAnCXVSY3JLIEJOZIZT', '0cJ4aP0NxGB7QEZeOfdZC1']"
42,2tN1wKPCuQ6xO2sBTQDf1t,Si No Te Hubiera Conocido,"['2CS0RcwxuawBHEs8n7gS3i', '2U9v51tNOoLRhwrU6j83uU', '3EkJj2KsKDbVCn0MfeSnoe', '1cMIaPv3DTyOGeNe2h6igm', '5yltN9z9qOBkKSjQ0IhGxg']"
43,4shFFsEAF1j6RcI42EeNS8,Cross My Heart - Single Version,"['6HUO25AttZZCoKAY0vUVtc', '3dvjnx3TG9kX903YRqPaZU', '35qOTcwOLGXQhxZZaWRxy5', '2mVp83pLkWJN03Ha8Txydf', '4VaqmTpAAsm8j3ZO7mXuWe']"
44,2SxI0tLSEEMPTF3FEy05MP,It's Over,"['06VUE0eFIGNEOd7Jn3tcS6', '2q40yq9UxqYGKuVZnynPxV', '579wiJu8HXaGXod6rU3NiB', '1LKJJ4LsmUm7ibocmosUf1', '0kIlh2nOwIxx4SgoDrRWDG']"
45,6pNvKPvOknI5zI4o9TB43f,Do Me!,"['1Xnn1TPyr5h0hpRAT4B4EA', '4mgdl5v71oF18Tp4bM8bKX', '3Xzog9enTvbsc0G7G9M58D', '0rZAuePyZoXTxaXPDsH0tG', '6jjQHv8A394Dz1HjYrr2jv']"
46,7zaOQVHSOW3mt8T5rafz5B,Your Disco Needs You,"['5Es5pG548uc04wSlpBKlUN', '5aaM6KRamITPsyLlsMb80v', '4mBpC5e5UFUu1cV4hX6j8a', '2jRISGsO4RTm9CQVb1Jusn', '1exW4TIz6ipk6xHKPJG4St']"
47,1GVj2x3lXqvK4TaYF41rxc,Superman (It's Not Easy),"['4ttnkDJFfE26vmPelQUSI7', '2zdltIgwTAWGXHHJGTPKqv', '5GsDw8rD0LJ9XF4dEzUPDK', '2gtFMLjQpCTGekMi4oXZxN', '2qwn6whaZf7gax7SaqUZSC']"
48,3u5F0rRVxogNkGhu27bM3y,432Hz Miracle Tone: Rainy Days,"['4OoYmENRtQZr2ZIIdJRWss', '26sMnwh7vPmSXOStrbTIgv', '5qjqvjJQ15sH6dIgXUzg5I', '5bUdtdODnRPeQpmMoqhvVY', '5ZTOYmie4S8M0mdpQyxptN']"
49,0RhkktMnJyR08vMnE34epK,Another Dumb Blonde,"['1UVg2llYjfc1sil4idS8NB', '5X73AYzzEE5Di0JwcQKt9N', '3qytQlsWcXeVQ2gR2mx8VI', '1nV9EKNIAORTvadQ19jkik', '6zgPxJ3HlrD8Vqv7OVLG0Y']"
50,2RK0TZJ3Jw8nFKhMH5n2fH,Off Wit His Head (featuring Prospect) - Explict,"['0TYhf0MgEj4YJaKwo5c4Km', '3PJQp0I22d2k12pnrLMRQ9', '7Hy7Fgp3es9APBsQIzEF3V', '24QjawKdGJmsAIVe3EhzGH', '2AplbqTzq1mK8wyAxsBvQ6']"
51,3OXJIOnAOSPZqonBAIDC7a,Wild Honey,"['1mD0LxzCdfathf6j7xMp7b', '306KqEgD6dCSlRWt2TKQMJ', '7GZ1pqFCCTTH472b7vrMBi', '1PotmRJ9g0y6zLVbJMKeV2', '4s85V8jg9bOfylFEaVLyqS']"
52,5lBjKm0YbgCQdKRcvDzPAJ,I'll Be Ok (feat. Slug),"['7KCvbMfHeYrBzK1HrZQt0N', '1NdBLNUZSEpBEITAt08ZmM', '5sORZLrKyyXyH199jmrMES', '1R9tieT3ZujuJ77a9U5wR3', '31HveB33DoO9x7P3UvkRct']"
53,6DTSCjeK32PYp1Sap27vvY,Beautiful World,"['27Y1N4Q4U3EfDU5Ubw8ws2', '5jSBnH9NyaNP5zdSB3pwgu', '7KVA9XflawdJaRBd1XYkJu', '6m3LlhdZ0HWn4D7Nnm06MQ', '3Xksp5RxM8ozB7LawqAqDT']"
